c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C14958,17a-Aza-D-homoandrost-5-en-3beta-ol,C19H31NO,289.2406,289.45,,,,
C14959,"Estra-1,3,5(10),16-tetraen-3-ol benzoate",C25H26O2,358.1933,358.47,,,,
C14960,"1alpha,5alpha-Dimercaptoandrostane-3alpha,17beta-diol",C19H32O2S2,356.1844,356.59,,,,
C14961,3beta-Hydroxy-16beta-(hydroxymethyl)-5alpha-androstan-17-one,C20H32O3,320.2351,320.47,,,,
C14962,"17-Hydroxy-5alpha,17alpha-pregn-1-en-3-one",C21H32O2,316.2402,316.48,,,,
C14963,"2-[4-(Acetyloxy)phenyl]-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one",C21H20O8,400.1158,400.38,,,,
C14964,"11alpha-Hydroxy-12alpha-methyl-pregn-4-ene-3,20-dione",C22H32O3,344.2351,344.49,,,,
C14965,"N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)methanesulfonamide",C14H11NO4S,289.0409,289.31,,,,
C14966,17beta-[Bis(2-hydroxyethyl)amino]androst-5-en-3beta-ol,C23H39NO3,377.2930,377.56,,,,
C14967,1-[2-Bromo-1-(4-chlorophenyl)ethenyl]-2-chlorobenzene,C14H9BrCl2,325.9265,328.03,,,,
C14968,"3-(2,4-Cyclopentadien-1-ylidene)pregn-4-en-20-one",C26H34O,362.2610,362.55,,,,
C14969,"4',6-Dihydroxy-5,7-dimethoxyflavanone;",C17H16O6,316.0947,316.30,,,,
C14970,"2alpha-(Hydroxymethyl)-5alpha-androstane-3beta,17beta-diol",C20H34O3,322.2508,322.48,,,,
C14971,"N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)-2,2,2-trifluoroacetamide",C15H8F3NO3,307.0456,307.22,,,,
C14972,3-Deoxyestrone;,C18H22O,254.1671,254.37,,,,
C14973,17beta-Hydroxy-7alpha-mercaptoandrost-4-en-3-one 7-propionate;,C22H32O3S,376.2072,376.55,,,,
C14974,"3-Methoxy-16-methylestra-1,3,5(10)-triene-16beta,17beta-diol 17-acetate",C22H30O4,358.2144,358.47,,,,
C14975,D-Homo-17a-oxa-5alpha-androstan-3beta-ol,C19H32O2,292.2402,292.46,,,,
C14976,"3alpha,21-Dihydroxy-D-homo-5beta-pregn-17a(20)-en-11-one",C22H34O3,346.2508,346.50,,,,
C14977,"2alpha-(Hydroxymethyl)-17-methyl-5alpha-androstane-3beta,17beta-diol",C21H36O3,336.2664,336.51,,,,
C14978,17beta-Hydroxy-2alpha-(methoxymethyl)-5alpha-androstan-3-one,C21H34O3,334.2508,334.49,,,,
C14979,3beta-Cyclopentyl-5alpha-androstan-17beta-ol,C24H40O,344.3079,344.57,,,,
C14980,"16beta-Methyl-D-homo-17a-oxa-5alpha-androstane-3,17-dione",C20H30O3,318.2195,318.45,,,,
C14981,3beta-Fluoro-5beta-pregnan-20-one,C21H33FO,320.2515,320.48,,,,
C14982,"6beta,17-Dimethyl-5alpha-androstane-3beta,17beta-diol",C21H36O2,320.2715,320.51,,,,
C14983,"6beta-Hydroxy-D-homo-17a-oxaandrost-4-ene-3,17-dione",C19H26O4,318.1831,318.41,,,,
C14984,"17-Hydroxy-3-oxo-19-nor-5beta,17alpha-pregnane-21-carboxylic acid, gamma-lactone",C21H30O3,330.2195,330.46,,,,
C14985,"6-Hydroxy-4',5,7-trimethoxyflavone;",C18H16O6,328.0947,328.31,,,,
C14986,"2-(4-Hydroxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one;",C18H16O6,328.0947,328.31,,,,
C14987,"2,3-Dihydroxycyclopentaneundecanoic acid",C16H30O4,286.2144,286.41,,,,
C14988,"4-Nitroestra-1,3,5(10)-triene-3,17beta-diol;",C18H23NO4,317.1627,317.38,,,,
C14990,"Cyclic-3,20-bis(1,2-ethanediyl acetal)-11alpha-(acetyloxy)-5alpha,6alpha-epoxypregnane-3,20-dione",C27H40O7,476.2774,476.60,,,,
C14991,"3beta,21-Dihydroxy-4,4,14-trimethyl-5alpha-pregn-8-en-20-one",C24H38O3,374.2821,374.56,,,,
C14992,"3-(Acetyloxy)-9-mercaptoandrosta-3,5-diene-11,17-dione",C21H26O4S,374.1552,374.50,,,,
C14993,Nonylphenol,,,,,,,
C14994,"3-Methoxy-16-octylestra-1,3,5(10)-triene-16beta,17beta-diol",C27H42O3,414.3134,414.62,,,,
C14995,"3-Methoxy-16-ethylestra-1,3,5(10)-triene-16beta,17beta-diol",C21H30O3,330.2195,330.46,,,,
C14996,"12-(2,3-Dihydroxycyclopentyl)-2-dodecanone",C17H32O3,284.2351,284.43,,,,
C14997,"6-Hydroxy-4',5,7-trimethoxyflavanone;",C18H18O6,330.1103,330.33,,,,
C14998,17beta-(1H-Imidazol-4-yl)androst-5-en-3beta-ol,C22H32N2O,340.2515,340.50,,,,
C14999,"10-Hydroxyestra-1,4-dien-3-one acetate",C20H26O3,314.1882,314.42,,,,
C15000,17beta-(Benzoyloxy)-B-norandrost-4-en-3-one,C25H30O3,378.2195,378.50,,,,
C15001,3beta-(Acetyloxy)-5alpha-androst-16-ene-16-carboxaldehyde,C22H32O3,344.2351,344.49,,,,
C15002,"11alpha,15alpha-Dihydroxypregn-4-ene-3,20-dione",C21H30O4,346.2144,346.46,,,,
C15003,17-Hydroxy-19-nor-17alpha-pregn-5(10)-en-3-one,C20H30O2,302.2246,302.45,,,,
C15004,16beta-Chloro-17beta-hydroxyandrost-4-en-3-one;,C19H27ClO2,322.1700,322.87,,,,
C15005,"4-Aminoestra-1,3,5(10)-triene-3,17beta-diol",C18H25NO2,287.1885,287.40,,,,
C15006,"2-Aminoestra-1,3,5(10)-triene-3,17beta-diol;",C18H25NO2,287.1885,287.40,,,,
C15007,"2-Nitroestra-1,3,5(10)-triene-3,17beta-diol;",C18H23NO4,317.1627,317.38,,,,
C15008,"1,2,3,4,4a,9,10,10a-Octahydro-6-hydroxy-7-isopropyl-1,4a-dimethyl-1-phenanthrenemethanol",C20H30O2,302.2246,302.45,,,,
C15009,"17beta-Hydroxyandrost-4-ene-3,11-dione propionate",C22H30O4,358.2144,358.47,,,,
C15010,"16beta-Chloroandrost-4-ene-3,17-dione",C19H25ClO2,320.1543,320.85,,,,
C15011,"11beta,17beta-Dihydroxy-6alpha,17-dimethylandrost-4-en-3-one",C21H32O3,332.2351,332.48,,,,
C15012,"17beta-Hydroxy-2,17-dimethyl-5alpha-androst-1-en-3-one",C21H32O2,316.2402,316.48,,,,
C15013,"3beta-(1-Pyrrolidinyl)-5alpha-pregnane-11,20-dione",C25H39NO2,385.2981,385.58,,,,
C15014,"3-(2-Propenyloxy)estra-1,3,5(10)-triene-16,17-dione 16-oxime",C21H25NO3,339.1834,339.43,,,,
C15015,"2beta,21-Dihydroxypregn-4-ene-3,20-dione",C21H30O4,346.2144,346.46,,,,
C15016,"19-Norpregna-4,17(20)-dien-3-one",C20H28O,284.2140,284.43,,,,
C15017,17beta-Hydroxy-5alpha-androst-2-ene-2-carboxaldehyde,C20H30O2,302.2246,302.45,,,,
C15018,"3-Hydroxy-2-nitroestra-1,3,5(10)-trien-17-one;",C18H21NO4,315.1471,315.36,,,,
C15019,"4'-Hydroxy-5,6,7-trimethoxyflavanone;",C18H18O6,330.1103,330.33,,,,
C15020,"17beta-Methylestra-1,3,5(10)-trien-3-ol",C19H26O,270.1984,270.41,,,,
C15021,"4,4'-(Diphenylethenylidene)bis[N,N-dimethylbenzenamine]",C30H30N2,418.2409,418.57,,,,
C15022,"11alpha,17beta-Dihydroxy-2alpha,17-dimethylandrost-4-en-3-one",C21H32O3,332.2351,332.48,,,,
C15023,19-Chloro-3beta-hydroxyandrost-5-en-17-one acetate,C21H29ClO3,364.1805,364.90,,,,
C15024,19-Chloro-17beta-hydroxyandrost-4-en-3-one,C19H27ClO2,322.1700,322.87,,,,
C15025,(S)-Carnitine;,C7H15NO3,161.1052,161.20,,R01921,1.1.1.254,
C15026,L-365260;,C24H22N4O2,398.1743,398.46,map07117  Benzodiazepine family,,,
C15027,"2,2-Dimethyl-3,4-bis(4-methoxyphenyl)-2H-1-benzopyran-7-ol acetate",C27H26O5,430.1780,430.49,,,,
C15028,"alpha-Ethyl-alpha,beta-diphenyl-2-pyridineethanol",C21H21NO,303.1623,303.40,,,,
C15029,"3,6-Dimethoxy-19-norpregna-1,3,5,7,9-pentaen-20-one",C22H26O3,338.1882,338.44,,,,
C15030,"3,6-Dimethoxyestra-1,3,5(10),6,8-pentaene-17beta-carboxylic acid methyl ester",C22H26O4,354.1831,354.44,,,,
C15031,Nortangeretin;,C15H10O7,302.0427,302.23,,,,
C15032,1-(4-Methoxyphenyl)-3-(4-morpholinyl)-1-propanone;,C14H19NO3,249.1365,249.31,,,,
C15033,Hydroxystenozole;,C21H30N2O,326.2358,326.48,,,,
C15034,16alpha-Hydroxycorticosterone;,C21H30O5,362.2093,362.46,,,,
C15035,17beta-Hydroxy-2alpha-(hydroxymethyl)-5alpha-androstan-3-one,C20H32O3,320.2351,320.47,,,,
C15036,"2alpha-Methyl-5alpha-androstane-3,17-dione",C20H30O2,302.2246,302.45,,,,
C15037,Oplophorus luciferin;,C26H21N3O3,423.1583,423.46,,R07128,1.13.12.13,
C15038,Oxidized Oplophorus luciferin;,C25H21N3O3,411.1583,411.45,,R07128,1.13.12.13,
C15039,3-(m-Aminophenyl)-2-(p-methoxyphenyl)acrylonitrile,C16H14N2O,250.1106,250.29,,,,
C15040,GYKI 52466;,C17H15N3O2,293.1164,293.32,map07117  Benzodiazepine family,,,
C15041,"17-Methylandrost-5-ene-3beta,11beta,17beta-triol",C20H32O3,320.2351,320.47,,,,
C15042,4-(2-Pyrazinylethenyl)phenol,C12H10N2O,198.0793,198.22,,,,
C15043,2-[2-(4-Pyridinyl)-1-butenyl]phenol,C15H15NO,225.1154,225.28,,,,
C15044,"2,3-Dimethoxy-[2-(4-Pyridinyl)-1-butenyl]phenol;",C17H19NO2,269.1416,269.34,,,,
C15045,4-Chloro-[2-(4-Pyridinyl)-1-butenyl]phenol;,C15H14ClN,243.0815,243.73,,,,
C15046,"Pregna-5,16,20-triene-3beta,20-diol diacetate",C25H34O4,398.2457,398.53,,,,
C15047,"11,17-Dimethyl-5alpha-androstane-11beta,17beta-diol",C21H36O2,320.2715,320.51,,,,
C15048,7-(Acetyloxy)-3-(3-pyridinyl)-2H-1-benzopyran-2-one,C16H11NO4,281.0688,281.26,,,,
C15049,(2-Butylbenzofuran-3-yl)(4-hydroxyphenyl)ketone;,C19H18O3,294.1256,294.34,,,,
C15050,"2,2-Dimethyl-3-[4-(acetyloxy)phenyl]-4-ethyl-2H-1-benzopyran-7-ol acetate;",C23H24O5,380.1624,380.43,,,,
C15051,7-Hydroxy-3-(4-methoxyphenyl)-4-propyl-2H-1-benzopyran-2-one;,C19H18O4,310.1205,310.34,,,,
C15052,7-Hydroxy-3-(4-methoxyphenyl)-4-methylcoumarin;,C17H14O4,282.0892,282.29,,,,
C15053,"2,2-Dimethyl-3-(4-methoxyphenyl)-4-propyl-2H-1-benzopyran-7-ol acetate",C23H26O4,366.1831,366.45,,,,
C15054,"2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol",C20H22O3,310.1569,310.39,,,,
C15055,"2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol acetate",C22H24O4,352.1675,352.42,,,,
C15056,"2,2,4-Trimethyl-3-(4-fluorophenyl)-2H-1-benzopyran-7-ol acetate",C20H19FO3,326.1318,326.36,,,,
C15057,"3-Ethoxyandrosta-3,5-dien-17beta-ol propanoate",C24H36O3,372.2664,372.54,,,,
C15058,"2alpha-Methyl-5alpha-androstane-3beta,17beta-diol",C20H34O2,306.2559,306.48,,,,
C15059,"2,2,4-Trimethyl-3-(4-methoxyphenyl)-2H-1-benzopyran-7-ol acetate",C21H22O4,338.1518,338.40,,,,
C15060,"7-Methoxy-2,2,4-trimethyl-3-(4-methoxyphenyl)-2H-1-benzopyran",C20H22O3,310.1569,310.39,,,,
C15061,"2,2-Dibutyl-3-(4-methoxyphenyl)-4-methyl-2H-1-benzopyran-7-ol acetate",C27H34O4,422.2457,422.56,,,,
C15062,"17beta-Hydroxy-3-methoxyestra-1,3,5(10)-triene-17-carbonitrile",C20H25NO2,311.1885,311.42,,,,
C15063,"3-Methoxy-D-homoestra-1,3,5(10),8,14-pentaen-17abeta-ol",C20H24O2,296.1776,296.40,,,,
C15064,17beta-(Hydroxymethyl)androst-4-en-3-one acetate,C22H32O3,344.2351,344.49,,,,
C15065,"9-Fluoro-11beta-hydroxy-A-norpregn-3(5)-ene-2,20-dione",C20H27FO3,334.1944,334.42,,,,
C15066,"alpha,alpha'-Diethyl-4,4'-bis(2-propynyloxy)stilbene",C24H24O2,344.1776,344.44,,,,
C15067,4-Chloro-alpha-[4-[2-(diethylamino)ethoxy]phenyl]-alpha-phenylbenzeneethanol,C26H30ClNO2,423.1965,423.97,,,,
C15068,17beta-Hydroxy-4-oxa-5alpha-androst-1-en-3-one acetate,C20H28O4,332.1988,332.43,,,,
C15069,"4,4'-(Butane-1,1-diyl)diphenol;",C16H18O2,242.1307,242.31,,,,
C15070,"17beta-Hydroxy-1,17-dimethylestr-5(10)-en-3-one",C20H30O2,302.2246,302.45,,,,
C15071,"6beta-Fluoro-5alpha-hydroxypregnane-3,20-dione",C21H31FO3,350.2257,350.47,,,,
C15072,"6beta,19-Epoxy-17beta-hydroxyandrost-4-en-3-one",C19H26O3,302.1882,302.41,,,,
C15073,17alpha-Chloroethynylestradiol;,C20H23ClO2,330.1387,330.85,,,,
C15074,16alpha-Fluoro-17alpha-hydroxyandrost-4-en-3-one,C19H27FO2,306.1995,306.41,,,,
C15075,3-Fluoro-1-(4-hydroxyphenyl)-1-propanone,C9H9FO2,168.0587,168.16,,,,
C15076,"5,6,7,4'-Tetramethoxyisoflavone;",C19H18O6,342.1103,342.34,,,,
C15077,1-Phenyl-3-(phenylsulfonyl)-2-propen-1-one;,C15H12O3S,272.0507,272.32,,,,
C15078,"3-Methoxyestra-1,3,5(10)-triene-16,17-dione 16-oxime;",C19H23NO3,313.1678,313.39,,,,
C15079,"9-Fluoro-11beta-hydroxypregna-4,16-diene-3,20-dione",C21H27FO3,346.1944,346.43,,,,
C15080,"4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone",C26H26O7,450.1679,450.48,,,,
C15081,"trans-1,3,4,6,7,11b-Hexahydro-9-methoxy-2H-benzo[a]quinolizine-3-carboxylic acid ethyl ester",C17H23NO3,289.1678,289.37,,,,
C15082,4-(1-Ethyl-2-phenylbutyl)phenol,C18H22O,254.1671,254.37,,,,
C15083,1-Chloro-2-[1-(4-chlorophenyl)ethenyl]benzene,C14H10Cl2,248.0160,249.13,,,,
C15084,"2,3-Diphenyl-3-(2-pyridinyl)acrylonitrile",C20H14N2,282.1157,282.34,,,,
C15085,"17-Methyl-18-norandrosta-4,13(17)-dien-3-one",C19H26O,270.1984,270.41,,,,
C15086,"3-Allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",C21H24N2O3,352.1787,352.43,,,,
C15087,"3-Hydroxyestra-1,3,5(10),7-tetraene-16,17-dione 16-oxime",C18H19NO3,297.1365,297.35,,,,
C15088,4-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate;,C22H31FO3,362.2257,362.48,,,,
C15089,"1,6-Dihydro-1-(3-methoxyphenethyl)-6-oxonicotinic acid",C15H15NO4,273.1001,273.28,,,,
C15090,"17-Hydroxy-3-oxo-17alpha-pregna-1,4-diene-21-carboxylic acid, gamma-lactone",C22H28O3,340.2038,340.45,,,,
C15091,"9-Fluoro-17beta-hydroxy-6alpha,17-dimethylandrost-4-ene-3,11-dione",C21H29FO3,348.2101,348.45,,,,
C15092,"9-Fluoro-11beta,17beta-dihydroxy-16alpha-methylandrosta-1,4-dien-3-one",C20H27FO3,334.1944,334.42,,,,
C15093,3beta-Fluoroandrost-5-en-17beta-ol,C19H29FO,292.2202,292.43,,,,
C15094,GYKI 52895;,C17H17N3O2,295.1321,295.34,map07117  Benzodiazepine family,,,
C15095,Coumestrol diacetate;,C19H12O7,352.0583,352.29,,,,
C15096,GV 150013X;,C33H34N4O3,534.2631,534.65,map07117  Benzodiazepine family,,,
C15097,"Androst-5-ene-3beta,17beta,19-triol",C19H30O3,306.2195,306.44,,,,
C15098,"21-Fluoro-11beta-hydroxypregn-4-ene-3,20-dione;",C21H29FO3,348.2101,348.45,,,,
C15099,"17beta-Hydroxy-2alpha,17-dimethyl-5alpha-androstan-3-one;",C21H34O2,318.2559,318.49,,,,
C15100,"4',6-Dihydroxy-5,7-dimethoxyflavone;",C17H14O6,314.0790,314.29,,,,
C15101,17-Methyl-5-alpha-androst-2-en-17-beta-ol,C20H32O,288.2453,288.47,,,,
C15102,"1,2,3,4-Tetrahydro-4-oxo-1-naphthoic acid",C11H10O3,190.0630,190.19,,,,
C15103,"11alpha,17beta-Dihydroxy-1,4-androstadien-3-one",C19H26O3,302.1882,302.41,,,,
C15104,LY-202769;,C27H24ClN3O2,457.1557,457.95,map07117  Benzodiazepine family,,,
C15105,"9-Fluoro-16alpha-hydroxyandrost-4-ene-3,11,17-trione",C19H23FO4,334.1580,334.38,,,,
C15106,3-Oxopregn-4-ene-20beta-carboxaldehyde dioxime,C22H34N2O2,358.2620,358.52,,,,
C15107,"3-Methoxyestra-1,3,5(10),16-tetraene",C19H24O,268.1827,268.39,,,,
C15108,"17beta-Hydroxy-6alpha,17-dimethylandrost-4-en-3-one;",C21H32O2,316.2402,316.48,,,,
C15109,Gardenin B;,C19H18O7,358.1053,358.34,,,,
C15110,1-[6-Hydroxy-2-(4-hydroxyphenyl)-1-benzofuran-3-yl]ethanone;,C16H12O4,268.0736,268.26,,,,
C15111,1-[2-(4-Hydroxyphenyl)-1-benzofuran-3-yl]ethanone;,C16H12O3,252.0786,252.26,,,,
C15112,"4,4-Difluoro-17beta-hydroxyandrost-5-en-3-one propionate",C22H30F2O3,380.2163,380.47,,,,
C15113,"9-Fluoro-11beta,17beta-dihydroxy-2,17-dimethylandrost-4-en-3-one",C21H31FO3,350.2257,350.47,,,,
C15114,"3-Methoxy-5,10-seco-5,19-cycloandrosta-1(10),2,4-trien-17-one;",C20H26O2,298.1933,298.42,,,,
C15115,"11beta-Hydroxy-6alpha,11-dimethylpregn-4-ene-3,20-dione;",C23H34O3,358.2508,358.51,,,,
C15116,"2alpha-Methylpregn-4-ene-3,20-dione;",C22H32O2,328.2402,328.49,,,,
C15117,"3-Methyl-19-nor-17alpha-pregna-1,3,5(10)-trien-17-ol",C21H30O,298.2297,298.46,,,,
C15118,"4',5,6,7-Tetramethoxyflavanone;",C19H20O6,344.1260,344.36,,,,
C15119,B-Norcholest-4-en-3-one,C26H42O,370.3236,370.61,,,,
C15120,alpha-(p-Methoxyphenyl)-4-pyridineacrylic acid,C15H13NO3,255.0895,255.27,,,,
C15121,alpha-(p-Methoxyphenyl)-2-pyridineacrylonitrile,C15H12N2O,236.0950,236.27,,,,
C15122,alpha-(p-Methoxyphenyl)-6-methyl-2-pyridineacrylic acid,C16H15NO3,269.1052,269.29,,,,
C15123,"1,1-Dichloro-2,2-diphenylethane",C14H12Cl2,250.0316,251.15,,,,
C15124,"3-Methoxy-D-homoestra-1,3,5(10),8-tetraen-17a-one",C20H24O2,296.1776,296.40,,,,
C15125,N-(Cyclohexylmethyl)-N-methylbenzenamine;,C14H21N,203.1674,203.32,,,,
C15126,"2,17beta-Dihydroxy-17-methylandrosta-1,4-dien-3-one",C20H28O3,316.2038,316.43,,,,
C15127,"6alpha-Fluoropregn-4-ene-3,20-dione;",C21H29FO2,332.2152,332.45,,,,
C15128,"1'H-5alpha-Androst-2-eno[3,2-b]indol-17beta-ol",C25H33NO,363.2562,363.53,,,,
C15129,"Estra-1,3,5(10)-triene-2,17beta-diol;",C18H24O2,272.1776,272.38,,,,
C15130,"6beta,19-Epoxypregn-4-ene-3,20-dione",C21H28O3,328.2038,328.44,,,,
C15131,"2,5-Dimethoxystilbene;",C16H16O2,240.1150,240.30,,,,
C15132,"11alpha,12alpha-Epoxy-5beta-pregnane-3,20-dione",C21H30O3,330.2195,330.46,,,,
C15133,"4-Methyl-4-aza-5-pregnene-3,20-dione",C21H31NO2,329.2355,329.48,,,,
C15134,"3-(1,2,3,4-Tetrahydro-6-hydroxy-2-naphthyl)cyclopentanone",C15H18O2,230.1307,230.30,,,,
C15135,3beta-Hydroxy-17-oxoandrost-5-en-19-al acetate,C21H28O4,344.1988,344.44,,,,
C15136,3beta-Hydroxy-D-homo-17a-oxa-5alpha-androstan-17-one;,C19H30O3,306.2195,306.44,,,,
C15137,17beta-Hydroxy-2alpha-(hydroxymethyl)-17-methyl-5alpha-androstan-3-one,C21H34O3,334.2508,334.49,,,,
C15138,"17beta-Methoxyandrost-5-ene-3beta,16beta-diol",C20H32O3,320.2351,320.47,,,,
C15139,D-Homo-17a-oxa-5alpha-androstan-3beta-ol acetate,C21H34O3,334.2508,334.49,,,,
C15140,"3,3-Difluoro-17-methyl-5alpha-androstan-17beta-ol",C20H32F2O,326.2421,326.46,,,,
C15141,N-(Phenylmethyl)-N-methyl-2-pyridinamine,C13H14N2,198.1157,198.26,,,,
C15142,"3-Methoxy-D-homoestra-1,3,5(10),8-tetraen-17abeta-ol",C20H26O2,298.1933,298.42,,,,
C15143,"(2-Butylbenzofuran-3-yl)(4-hydroxy-3,5-diiodophenyl)ketone",C19H16I2O3,545.9189,546.14,,,,
C15144,"16beta,17beta-Dihydroxy-16-methylestr-4-en-3-one",C19H28O3,304.2038,304.42,,,,
C15145,"4,4-Bis[4-(acetyloxy)phenyl]3-hexanone;",C22H24O5,368.1624,368.42,,,,
C15146,"Pregna-4,16-diene-3,11,20-trione",C21H26O3,326.1882,326.43,,,,
C15147,"9-Fluoro-11beta-hydroxy-16alpha-methylandrosta-1,4-diene-3,17-dione",C20H25FO3,332.1788,332.41,,,,
C15148,"9-Fluoro-16alpha-methylpregn-4-ene-3,11,20-trione",C22H29FO3,360.2101,360.46,,,,
C15149,17beta-Acetamidoandrost-4-en-3-one,C21H31NO2,329.2355,329.48,,,,
C15150,"14-Hydroxyandrosta-1,4-diene-3,17-dione",C19H24O3,300.1725,300.39,,,,
C15151,17beta-Hydroxy-4-oxa-5alpha-estr-1-en-3-one acetate,C19H26O4,318.1831,318.41,,,,
C15152,"4,4-Difluoropregn-5-ene-3,20-dione",C21H28F2O2,350.2057,350.44,,,,
C15153,(-)-Methallenestrilphenol;,C17H20O3,272.1412,272.34,,,,
C15154,"4beta,5beta-Epoxypregnane-3,20-dione",C21H30O3,330.2195,330.46,,,,
C15155,"9-Bromo-11beta-hydroxy-16alpha-methylpregn-4-ene-3,20-dione",C22H31BrO3,422.1457,423.38,,,,
C15156,3-Acetyl-5alpha-androst-2-en-17beta-ol,C21H32O2,316.2402,316.48,,,,
C15157,"3-Acetyl-5alpha-androstane-3beta,17beta-diol 3-acetate",C23H36O4,376.2614,376.53,,,,
C15158,3alpha-Ethynyl-3-hydroxy-5alpha-androstan-17-one,C21H30O2,314.2246,314.46,,,,
C15159,"3beta,13-Dihydroxy-16-(hydroxymethylene)-13,17-seco-5alpha-androstan-17-oic acid, delta-lactone",C20H30O4,334.2144,334.45,,,,
C15160,"2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-6-(1-pyrrolidinylmethyl)-2H-1-benzopyran-7-ol",C25H31NO3,393.2304,393.52,,,,
C15161,"2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-7-hydroxy-2H-1-benzopyran-8-methanol diacetate",C25H28O6,424.1886,424.48,,,,
C15162,"2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-8-(1-pyrrolidinylmethyl)-2H-1-benzopyran-7-ol",C25H31NO3,393.2304,393.52,,,,
C15163,"17-[(Benzylamino)methyl]estra-1,3,5(10)-triene-3,17beta-diol",C26H33NO2,391.2511,391.54,,,,
C15164,"12alpha-Fluoro-11beta,17beta-dihydroxyandrost-4-en-3-one",C19H27FO3,322.1944,322.41,,,,
C15165,"12alpha-Fluoro-11beta,17beta-dihydroxyandrosta-1,4-dien-3-one",C19H25FO3,320.1788,320.40,,,,
C15166,5alpha-Androstane-2alpha-fluoro-17beta-ol-3-one acetate;,C21H31FO3,350.2257,350.47,,,,
C15167,"3-Methoxy-19-norpregna-1,3,5(10)-trien-20-one",C21H28O2,312.2089,312.44,,,,
C15168,"4,4'-(2-Ethyl-1-butenylidene)diphenol;",C18H20O2,268.1463,268.35,,,,
C15169,"16alpha-Fluoroandrost-4-ene-3,17-dione",C19H25FO2,304.1839,304.40,,,,
C15170,"17-Methyl-18,19-dinor-17alpha-pregna-4,13-dien-3-one",C20H28O,284.2140,284.43,,,,
C15171,17beta-Hydroxyestr-4-en-3-one benzoate;,C25H30O3,378.2195,378.50,,,,
C15172,"6alpha-Fluoro-11beta,17-dihydroxypregn-4-ene-3,20-dione;",C21H29FO4,364.2050,364.45,,,,
C15173,3beta-Hydroxy-16-phosphonopregn-5-en-20-one monoethyl ester;,C23H37O5P,424.2379,424.51,,,,
C15174,"Estra-1,3,5-(10)-trien-17-one-3-oxyacetic acid;",C20H24O4,328.1675,328.40,,,,
C15175,"17beta-Hydroxy-4,17-dimethyl-4-azaandrost-5-en-3-one",C20H31NO2,317.2355,317.46,,,,
C15176,"17-Methyl-5alpha-androst-2-ene-1alpha,17beta-diol",C20H32O2,304.2402,304.47,,,,
C15177,"17-Methylandrosta-2,4-dieno[2,3-d]isoxazol-17beta-ol",C21H29NO2,327.2198,327.46,,,,
C15178,5-Nitro-2-furancarboxaldehyde (2-hydroxyethyl)hydrazone,C7H9N3O4,199.0593,199.16,,,,
C15179,"1,1-Diphenyl-2-(4-methoxyphenyl)propene",C22H20O,300.1514,300.39,,,,
C15180,17beta-Hydroxy-4-mercaptoandrost-4-en-3-one 4-acetate 17-propionate,C24H34O4S,418.2178,418.59,,,,
C15181,Wortmannin,C23H24O8,428.1471,428.43,,,,
C15182,Temsirolimus;,C56H87NO16,1029.6025,1030.28,,,,
C15183,AP 23573;,C53H84NO14P,989.5629,990.20,,,,
C15184,17beta-Hydroxy-6alpha-methylandrost-4-en-3-one;,C20H30O2,302.2246,302.45,,,,
C15185,"21-Acetyloxy-17-hydroxypregna-1,4-diene-3,20-dione;",C23H30O5,386.2093,386.48,,,,
C15186,"5alpha,17alpha-Pregn-2-en-20-yn-17-ol acetate;",C23H32O2,340.2402,340.50,,,,
C15187,"11beta,12beta-Epoxypregn-4-ene-3,20-dione;",C21H28O3,328.2038,328.44,,,,
C15188,"19-Nor-5alpha-pregnane-3,20-dione",C20H30O2,302.2246,302.45,,,,
C15189,3-(4-Chlorophenyl)-2H-1-benzopyran-2-one;,C15H9ClO2,256.0291,256.68,,,,
C15190,"12alpha-Methylpregna-4,9(11)-diene-3,20-dione",C22H30O2,326.2246,326.47,,,,
C15191,(2-Isopropyl-1-benzofuran-3-yl)(4-hydroxyphenyl)methanone;,C18H16O3,280.1099,280.32,,,,
C15192,"9beta,11beta-Epoxy-17beta-hydroxy-17-methylandrost-4-en-3-one",C20H28O3,316.2038,316.43,,,,
C15193,2-[3-Ethyl-5-(4-methoxyphenyl)-1H-pyrazol-4-yl]phenol,C18H18N2O2,294.1368,294.35,,,,
C15194,"Androsta-4,9(11)-diene-3,17-dione;",C19H24O2,284.1776,284.39,,,,
C15195,LY 294002;,C19H17NO3,307.1208,307.34,,,,
C15196,"3,4-Dihydro-8,9-dihydroxy-1(2H)-anthracenone",C14H12O3,228.0786,228.24,,,,
